incia,badgenum
UF22-1213,3441
UF22-1215,3605
UF22-1220,3438
UF22-1222,3605
UF22-1224,3377
UF22-1224,3378
UF22-1224,3403
UF22-1232,3380
UF22-1243,3438
UF22-1245,3442
UF22-1250,3368
UF22-1250,3433
UF22-1256,3438
UF22-1257,3442
UF22-1260,3404
UF22-1264,3441
UF22-1269,3432
UF22-1277,3380
UF22-1291,3380
UF22-1300,3376
UF22-1304,3381
UF22-1322,3368
UF22-1322,3433
UF22-1323,3368
UF22-1323,3369
UF22-1323,3377
UF22-1323,3403
UF22-1328,3440
UF22-1329,3397
UF22-1331,3413
UF22-1332,3397
UF22-1336,3442
UF22-1347,3605
UF22-1349,3369
UF22-1349,3382
UF22-1352,3427
UF22-1369,3421
UF22-1370,3415
UF22-1373,3368
UF22-1374,3388
UF22-1375,3418
UF22-1376,3421
UF22-1383,3432
UF22-1385,3404
UF22-1387,3605
UF22-1396,3441
UF22-1398,3421
UF22-1400,3406
UF22-1413,3373
UF22-1413,3409
UF22-1413,3413
UF22-1414,3413
UF22-1420,3409
UF22-1421,3409
UF22-1422,3398
UF22-1424,3390
UF22-1427,3434
UF22-1428,3373
UF22-1431,3409
UF22-1431,3434
UF22-1433,3378
UF22-1435,3398
UF22-1435,3402
UF22-1435,3434
UF23-0325,3409
UF23-0325,3434
VA22-002,3376
VA22-002,3381
VA22-037,3368
VA22-044,3433
VA22-044,3438
VA22-049,3433
VA22-051,3384
VA22-056,3441
VA22-072,3442
VA22-073,3410
VA22-073,3411
VA22-074,3411
VA22-074,3415
VA22-074,3419
VA22-078,3408
VA22-080,3381
VA22-088,3398
VA22-110,3369
VA22-121,3393
VP22-001,3414
VP22-004,3376
VP22-010,3388
VP22-013,3433
VP22-013,3438
VP22-015,3388
VP22-018,3376
VP22-020,3376
VP22-021,3398
VP22-029,3433
VP22-032,3420
VP22-037,3444
VP22-038,3414
VP22-042,3433
VP22-044,3385
VP22-044,3388
VP22-044,3421
VP22-046,3406
VP22-048,3369
VP22-049,3368
VP22-049,3382
VP22-054,3382
VP22-055,3421
VP22-060,3420
VP22-062,3385
VP23-034,3398
